id,name,value,change,date
97,TOTAL EQUITY DEALS,"1,169.00",-38.00 ,2022-10-21
96,EQUITY TURNOVER,"264,689,803.43","108,876,163.43 ",2022-10-21
95,TOTAL SHARE TRADED,"8,718,800.00","1,474,800.00 ",2022-10-21
93,NSE 25 SHARE INDEX,"3,108.64",-15.90 ,2022-10-21
92,NSE 20 SHARE INDEX,"1,704.60",-0.42 ,2022-10-21
91,NSE ALL SHARE INDEX,128.30,-1.43 ,2022-10-21
77,NSE 20 SHARE INDEX,"1,705.02",10.32 ,2022-10-18
90,ETF Turnover in KES,0.00,"-188,000.00 ",2022-10-18
89,ETF in Units-Total Deals,0.00,-1.00 ,2022-10-18
88,TOTAL DERIVATIVES VOLUME,7.00,-10.00 ,2022-10-18
87,TOTAL DERIVATIVES OPEN INTEREST,290.00,-1.00 ,2022-10-18
86,TOTAL DERIVATIVES DEALS,6.00,1.00 ,2022-10-18
85,DERIVATIVES TURNOVER,"173,070.00","-429,890.00 ",2022-10-18
84,TOTAL I-REIT DEALS,9.00,3.00 ,2022-10-18
83,I-REIT TURNOVER,"35,184.00","-51,192.00 ",2022-10-18
82,TOTAL EQUITY DEALS,"1,207.00",126.00 ,2022-10-18
81,EQUITY TURNOVER,"155,813,640.00","29,737,925.00 ",2022-10-18
80,TOTAL SHARE TRADED,"7,244,000.00","2,629,700.00 ",2022-10-18
76,NSE ALL SHARE INDEX,129.73,-0.05 ,2022-10-18
79,MARKET CAPITALIZATION,"2,021.32",-0.81 ,2022-10-18
78,NSE 25 SHARE INDEX,"3,124.54",-0.68 ,2022-10-18
61,NSE ALL SHARE INDEX,129.78,-0.12 ,2022-10-17
75,ETF Turnover in KES,"188,000.00","188,000.00 ",2022-10-17
74,ETF in Units-Total Deals,1.00,1.00 ,2022-10-17
73,TOTAL DERIVATIVES VOLUME,17.00,11.00 ,2022-10-17
72,TOTAL DERIVATIVES OPEN INTEREST,291.00,-3.00 ,2022-10-17
71,TOTAL DERIVATIVES DEALS,5.00,-1.00 ,2022-10-17
70,DERIVATIVES TURNOVER,"602,960.00","432,530.00 ",2022-10-17
69,TOTAL I-REIT DEALS,6.00,2.00 ,2022-10-17
68,I-REIT TURNOVER,"86,376.00","48,576.00 ",2022-10-17
67,TOTAL EQUITY DEALS,"1,081.00",-5.00 ,2022-10-17
66,EQUITY TURNOVER,"126,075,715.00","-30,882,626.84 ",2022-10-17
65,TOTAL SHARE TRADED,"4,614,300.00","381,900.00 ",2022-10-17
64,MARKET CAPITALIZATION,"2,022.12",-1.86 ,2022-10-17
63,NSE 25 SHARE INDEX,"3,125.22",-0.74 ,2022-10-17
62,NSE 20 SHARE INDEX,"1,694.70",-5.52 ,2022-10-17
46,NSE ALL SHARE INDEX,129.90,1.11 ,2022-10-14
60,ETF Turnover in KES,0.00,0.00 ,2022-10-14
59,ETF in Units-Total Deals,0.00,0.00 ,2022-10-14
58,TOTAL DERIVATIVES VOLUME,6.00,0.00 ,2022-10-14
57,TOTAL DERIVATIVES OPEN INTEREST,294.00,-7.00 ,2022-10-14
56,TOTAL DERIVATIVES DEALS,6.00,1.00 ,2022-10-14
55,DERIVATIVES TURNOVER,"170,430.00","3,510.00 ",2022-10-14
54,TOTAL I-REIT DEALS,4.00,-2.00 ,2022-10-14
53,I-REIT TURNOVER,"37,800.00","8,100.00 ",2022-10-14
52,TOTAL EQUITY DEALS,"1,086.00",-67.00 ,2022-10-14
51,EQUITY TURNOVER,"156,958,341.84","-46,560,820.94 ",2022-10-14
50,TOTAL SHARE TRADED,"4,232,400.00","-3,929,100.00 ",2022-10-14
49,MARKET CAPITALIZATION,"2,023.99",17.29 ,2022-10-14
48,NSE 25 SHARE INDEX,"3,125.96",69.56 ,2022-10-14
47,NSE 20 SHARE INDEX,"1,700.22",25.27 ,2022-10-14
38,I-REIT TURNOVER,"29,700.00","-10,910.00 ",2022-10-13
45,ETF Turnover in KES,0.00,0.00 ,2022-10-13
44,ETF in Units-Total Deals,0.00,0.00 ,2022-10-13
43,TOTAL DERIVATIVES VOLUME,6.00,-21.00 ,2022-10-13
42,TOTAL DERIVATIVES OPEN INTEREST,301.00,1.00 ,2022-10-13
41,TOTAL DERIVATIVES DEALS,5.00,-7.00 ,2022-10-13
40,DERIVATIVES TURNOVER,"166,920.00","-502,800.00 ",2022-10-13
39,TOTAL I-REIT DEALS,6.00,0.00 ,2022-10-13
37,TOTAL EQUITY DEALS,"1,153.00",-353.00 ,2022-10-13
36,EQUITY TURNOVER,"203,519,162.78","-205,989,069.26 ",2022-10-13
35,TOTAL SHARE TRADED,"8,161,500.00","-14,278,200.00 ",2022-10-13
34,MARKET CAPITALIZATION,"2,006.70",-24.31 ,2022-10-13
33,NSE 25 SHARE INDEX,"3,056.40",-26.99 ,2022-10-13
32,NSE 20 SHARE INDEX,"1,674.95",-7.63 ,2022-10-13
31,NSE ALL SHARE INDEX,128.79,-1.56 ,2022-10-13
16,NSE ALL SHARE INDEX,130.35,1.22 ,2022-10-12
30,ETF Turnover in KES,0.00,0.00 ,2022-10-12
29,ETF in Units-Total Deals,0.00,0.00 ,2022-10-12
28,TOTAL DERIVATIVES VOLUME,27.00,19.00 ,2022-10-12
27,TOTAL DERIVATIVES OPEN INTEREST,300.00,2.00 ,2022-10-12
26,TOTAL DERIVATIVES DEALS,12.00,7.00 ,2022-10-12
25,DERIVATIVES TURNOVER,"669,720.00","461,660.00 ",2022-10-12
24,TOTAL I-REIT DEALS,6.00,2.00 ,2022-10-12
23,I-REIT TURNOVER,"40,610.00","25,200.00 ",2022-10-12
22,TOTAL EQUITY DEALS,"1,506.00",236.00 ,2022-10-12
21,EQUITY TURNOVER,"409,508,232.04","110,887,063.65 ",2022-10-12
20,TOTAL SHARE TRADED,"22,439,700.00","2,139,200.00 ",2022-10-12
19,MARKET CAPITALIZATION,"2,031.01",19.00 ,2022-10-12
18,NSE 25 SHARE INDEX,"3,083.39",22.35 ,2022-10-12
17,NSE 20 SHARE INDEX,"1,682.58",14.83 ,2022-10-12
3,NSE 25 SHARE INDEX,"3,034.74",39.84 ,2022-10-07
15,ETF Turnover in KES,0.00,0.00 ,2022-10-07
14,ETF in Units-Total Deals,0.00,0.00 ,2022-10-07
13,TOTAL DERIVATIVES VOLUME,12.00,7.00 ,2022-10-07
12,TOTAL DERIVATIVES OPEN INTEREST,292.00,0.00 ,2022-10-07
11,TOTAL DERIVATIVES DEALS,10.00,6.00 ,2022-10-07
10,DERIVATIVES TURNOVER,"308,120.00","185,880.00 ",2022-10-07
9,TOTAL I-REIT DEALS,4.00,2.00 ,2022-10-07
1,NSE ALL SHARE INDEX,126.32,2.69 ,2022-10-07
8,I-REIT TURNOVER,"21,840.00","19,130.00 ",2022-10-07
7,TOTAL EQUITY DEALS,"1,534.00",-67.00 ,2022-10-07
6,EQUITY TURNOVER,"709,229,923.60","-368,643,510.03 ",2022-10-07
5,TOTAL SHARE TRADED,"25,848,700.00","-17,819,900.00 ",2022-10-07
4,MARKET CAPITALIZATION,"1,968.08",42.05 ,2022-10-07
2,NSE 20 SHARE INDEX,"1,676.77",-0.59 ,2022-10-07
